name	description	picture	tags	year	link	isTool	isStoryTelling	isArt	featured
Broken Promises	What should a journalist investigate today, according to what has been promised in the past?	brokenpromises.png	!Jobs Runner, !Report System, Python, API	1013	http://jplusplus.se/broken-promises-the-memory-you-lost-is-here/	TRUE			
Datawrapper	Create charts and maps in seconds	datawrapper.gif	D3.js, Plugin System, Map, High Traffic, API	2013	https://www.datawrapper.de	TRUE			
Spending Stories	Ordered by the Open Knowledge Foundation it aims at improving fiscal literacy and providing greater awareness of budget data worldwide. It enables users to put amounts into perspective. The results take into account inflation in the country where the expenditure has been realized.	spendingstories.png	Python, Django	2013	http://spendingstories.org	TRUE			
Wikileaks	US, Australia isolated in TPP negotiations	wikileaks.png	Map, D3.js	2013	https://wikileaks.org/US-Australia-isolated-in-TPP.html		TRUE		
The Migrant Files	"Winner of the Datajournalism Awards 2014.
An open database containing information about over 29,000 people who died on their way to Europe."	tmf.jpg	!Parser, !Bulk Upload, Neo4j	2014	http://www.themigrantsfiles.com/		TRUE		TRUE
Detective.io	Detective.io is a platform that hosts your investigation and lets you make powerful queries to mine it. Simply describe your field of study and detective.io builds the input interface as well as a state-of-the-art front-end. 	detective.gif	Neo4j, Django, Angular.js, API	2014		TRUE			
Jeu d’influences	"Best cross-media piece at Liege Web Festival – 2014.
Have you ever faced a communication crisis? Jeu d'influences puts you right in front of it."	jeudinfluences.gif	!Persistence, !Optimization, Angular.js	2014	http://jeu-d-influences.france5.fr/		TRUE		
World of Work	"Ordered by Arte, World of Work is a survey that aims to measure the perception of the work by young Europeans and to compare their opinions with the ones of their  generations and older.
The project gathered more that 10 000 users."	wow.png		2014					
n-ost	Map for the 10th anniversary of the EU-enlargement	nost10years.png	Map	2014	https://github.com/jplusplus/nost-10years		TRUE		
Dragons Gifts	Start the tour and have a look at the Chinese projects in Africa, or explore the data and delve into the Chinese presence in the African continent.	dragonsgifts.png	Map, D3.js	2014	http://www.aljazeera.com/indepth/interactive/2014/03/interactive-china-african-spending-spree-2014320121349799136.html		TRUE		
Resonate 2014	They do not call themselves ‘artists’, but might be the future of art. We met the new-media art scene in Belgrade last week, at the Resonate festival.	resonate2014.gif	Python, Flask, Map	2014	https://vied12.github.io/resonate2014/		TRUE		
Liveblog	Sourcefabric's Live Blog is an open source web app that enables journalists to provide immediate and ongoing coverage on rapidly evolving news events.	liveblog.gif	Python, Flask, Angular.js, High Traffic, API	2015	https://www.sourcefabric.org/en/liveblog/	TRUE			
Energy	An interactive infographic about energy for municipal decision-makers and city planning	energy.gif	Map	2015	https://vied12.github.io/energy/		TRUE		
Bus Notifier	Display the public transport departure time for a given station in a little box for your bathroom. Colored light induces the relative imminence of your commute. Push the buttons to navigate through the next departures.	bus.gif	Electronic, Welds, Raspberry Pi, Python, LED strip, API	2016	https://github.com/vied12/public-transport-notifier			TRUE	
Pillen	The colorimetric repository of little pills	pillen.png		2016	http://vied12.github.io/pillen/				
Loopr	"L8pr is an Internet Player.
Create your own channel made of Youtube videos, Soundcloud tracks illustrated with GIFs;
add your tweets and RSS to have a complete, multimedia, multi-content looping channel.
Made with Benjamin Etco and love"	loopr.gif	Python, API, React	2016	https://l8pr.herokuapp.com			TRUE	
Superdesk	Content creation, production, distribution, archiving and curation. Modular by design and developed continuously via partnerships with news organizations worldwide.	superdesk.png	Plugin System, Planning Component, Python, React, Angular.js, High Traffic, API	2017	https://www.superdesk.org/	TRUE			
Jump	You are a pixel on the strip led and your controller is your phone. To survive you need to jump when the killer pixel comes to you. You can also fight back and send the killer in the other way.	looped.gif	Electronic, LED strip, Raspberry Pi, Python, React	2017				TRUE	
Smog Alarm	Smog Alarm is collecting the daily reports from the German Environmental Protection Agency who is measuring the air quality. This tool helps you to find your closest station and give you the possibility to track it by receiving Messenger messages, emails or RSS feeds. A messenger bot can help you to subscribe.	smogalarm.jpg	Messenger Bot, Python, Django, D3.js, API, Map, 	2017	http://www.smogalarm.org			TRUE	TRUE
Totalbalance	"Crypto Asset Manager
Gives an overview of your crypto currencies which are coming from many different sources"	tb.gif	React, Crypto currencies, Firebase, D3.js	2018	https://app.totalbalance.io/	TRUE			
Bias Tracker	Bias Tracker extracts entities from Facebook posts and analyzes the sentiment related to them. Then it displays charts that reflects the bias from the sources regarding the entities.	biastracker.jpg	Django, React, GraphQL, !Jobs Runner	2018	https://medium.com/@dougiegyro/bias-tracker-understanding-sentiment-in-the-runup-to-the-italian-elections-ad390ced5d19	TRUE			
ISHHH	Carmen released her new limited collection of kimonos, crop tops and and jeans jackets.	ishhh-website.webm	React, Lazy Loading, Gallery, Payment	2018	https://www.ishhh.de/			TRUE	
